INFO 2024-06-13 18:54:59,177 autoreload Watching for file changes with StatReloader
DEBUG 2024-06-13 18:54:59,178 autoreload Waiting for apps ready_event.
DEBUG 2024-06-13 18:54:59,182 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-06-13 18:54:59,203 autoreload Watching dir /workspace/Barbershop/barbershop/barberapp/templates with glob **/*.
DEBUG 2024-06-13 18:54:59,203 autoreload Watching dir /workspace/Barbershop/barbershop/templates with glob **/*.
DEBUG 2024-06-13 18:54:59,203 autoreload Watching dir /workspace/Barbershop/barbershop/locale with glob **/*.mo.
DEBUG 2024-06-13 18:54:59,203 autoreload Watching dir /workspace/Barbershop/barbershop/barberapp/locale with glob **/*.mo.
DEBUG 2024-06-13 18:54:59,255 utils (0.000) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2024-06-13 18:54:59,258 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2024-06-13 18:54:59,333 autoreload File /workspace/.pyenv_mirror/user/current/lib/python3.12/site-packages/django/db/migrations/migration.py first seen with mtime 1718190089.0
DEBUG 2024-06-13 18:54:59,333 autoreload File /workspace/.pyenv_mirror/user/current/lib/python3.12/site-packages/django/db/backends/base/schema.py first seen with mtime 1718190089.0
DEBUG 2024-06-13 18:54:59,334 autoreload File /workspace/.pyenv_mirror/user/current/lib/python3.12/site-packages/django/db/backends/ddl_references.py first seen with mtime 1718190089.0
DEBUG 2024-06-13 18:54:59,334 autoreload File /workspace/.pyenv_mirror/user/current/lib/python3.12/site-packages/django/forms/utils.py first seen with mtime 1718190089.0
DEBUG 2024-06-13 18:54:59,334 autoreload File /workspace/.pyenv_mirror/user/current/lib/python3.12/site-packages/django/db/backends/base/introspection.py first seen with mtime 1718190089.0
DEBUG 2024-06-13 18:54:59,334 autoreload File /workspace/.pyenv_mirror/user/current/lib/python3.12/site-packages/django/core/files/storage/base.py first seen with mtime 1718190089.0
DEBUG 2024-06-13 18:54:59,334 autoreload File /workspace/.pyenv_mirror/user/current/lib/python3.12/site-packages/django/db/models/fields/related_lookups.py first seen with mtime 1718190089.0
DEBUG 2024-06-13 18:54:59,334 autoreload File /workspace/.pyenv_mirror/user/current/lib/python3.12/site-packages/django/utils/crypto.py first seen with mtime 1718190089.0
DEBUG 2024-06-13 18:54:59,334 autoreload File /workspace/.pyenv_mirror/user/current/lib/python3.12/site-packages/django/db/models/utils.py first seen with mtime 1718190089.0
DEBUG 2024-06-13 18:54:59,334 autoreload File /workspace/.pyenv_mirror/user/current/lib/python3.12/site-packages/django/utils/functional.py first seen with mtime 1718190089.0
DEBUG 2024-06-13 18:54:59,334 autoreload File /workspace/.pyenv_mirror/user/current/lib/python3.12/site-packages/django/core/checks/urls.py first seen with mtime 1718190089.0
DEBUG 2024-06-13 18:54:59,334 autoreload File /home/gitpod/.pyenv/versions/3.12.3/lib/python3.12/_sysconfigdata__linux_x86_64-linux-gnu.py first seen with mtime 1714638329.0
DEBUG 2024-06-13 18:54:59,334 autoreload File /workspace/.pyenv_mirror/user/current/lib/python3.12/site-packages/django/core/serializers/json.py first seen with mtime 1718190089.0
DEBUG 2024-06-13 18:54:59,334 autoreload File /workspace/Barbershop/barbershop/barberapp/__init__.py first seen with mtime 1718190102.0
DEBUG 2024-06-13 18:54:59,334 autoreload File /workspace/.pyenv_mirror/user/current/lib/python3.12/site-packages/django/views/decorators/debug.py first seen with mtime 1718190089.0
DEBUG 2024-06-13 18:54:59,334 autoreload File /home/gitpod/.pyenv/versions/3.12.3/lib/python3.12/lib-dynload/fcntl.cpython-312-x86_64-linux-gnu.so first seen with mtime 1714638335.0
DEBUG 2024-06-13 18:54:59,334 autoreload File /workspace/.pyenv_mirror/user/current/lib/python3.12/site-packages/sqlparse/filters/others.py first seen with mtime 1718190087.0
DEBUG 2024-06-13 18:54:59,334 autoreload File /workspace/.pyenv_mirror/user/current/lib/python3.12/site-packages/django/contrib/messages/__init__.py first seen with mtime 1718190089.0
